Timestamp,MagX,MagY,MagZ
36:14.8,33.48959351,12.40968323,-73.19929504
36:14.8,33.75814819,12.59031677,-72.94378662
36:14.8,33.50230408,13.02947998,-72.86329651
36:14.8,33.52809143,12.8682251,-73.18013
36:14.9,33.71492004,12.83172607,-73.01521301
36:14.9,33.74461365,12.67086792,-72.86346436
36:14.9,33.74461365,12.67086792,-72.86346436
36:14.9,33.90106201,12.79515076,-72.9283905
36:14.9,33.82502747,12.88786316,-72.92907715
36:14.9,34.27207947,12.72189331,-72.91093445
36:15.0,34.49952698,12.44372559,-72.98696899
36:15.0,34.99356079,12.34596252,-73.04179382
36:15.0,34.99356079,12.34596252,-73.04179382
36:15.0,35.09667969,12.09214783,-73.20176697
36:15.0,34.91313171,12.12898254,-72.97619629
36:15.0,34.58320618,12.66101074,-72.66209412
36:15.1,34.5380249,12.9022522,-72.96780396
36:15.1,34.97366333,12.11662292,-73.12947083
36:15.1,34.97366333,12.11662292,-73.12947083
36:15.1,35.12635803,11.93128967,-73.05000305
36:15.1,35.18315125,11.60932922,-73.05889893
36:15.1,34.75289917,11.6950531,-72.76687622
36:15.2,34.484375,11.51445007,-73.0223999
36:15.2,34.16163635,11.65605164,-72.95661926
36:15.2,34.19915771,11.10481262,-72.97511292
36:15.2,34.19915771,11.10481262,-72.97511292
36:15.2,34.15722656,11.34635925,-72.89033508
36:15.2,33.72372437,11.43177795,-72.98878479
36:15.3,33.08415222,11.32441711,-73.26176453
36:15.3,32.68231201,11.24919128,-72.97418213
36:15.3,32.19610596,10.95655823,-73.08958435
36:15.3,32.19610596,10.95655823,-73.08958435
36:15.3,31.68153381,10.8249054,-73.20054626
36:15.3,30.97047424,10.81069946,-72.92750549
36:15.4,30.45915222,10.67938232,-72.64797974
36:15.4,29.96252441,10.77688599,-72.9055481
36:15.4,29.58073425,10.23054504,-73.02470398
36:15.4,29.58073425,10.23054504,-73.02470398
36:15.4,29.14411926,10.00640869,-72.9006958
36:15.4,28.63148499,9.874954224,-72.77735901
36:15.5,27.82891846,10.03384399,-72.65898132
36:15.5,27.17271423,9.697479248,-72.62913513
36:15.5,26.53640747,9.590423584,-72.51161194
36:15.5,26.2215271,9.341674805,-72.61607361
36:15.5,26.2215271,9.341674805,-72.61607361
36:15.5,25.64723206,8.52204895,-72.99006653
36:15.6,25.01419067,8.415344238,-72.48205566
36:15.6,24.66145325,7.708099365,-72.52757263
36:15.6,24.50059509,7.274124146,-72.39637756
36:15.6,24.38032532,6.598480225,-72.50613403
