Timestamp,AccX,AccY,AccZ
36:16.4,0.244415283,-0.16545105,-1.074707031
36:16.5,0.215148926,-0.162490845,-1.092346191
36:16.5,0.192871094,-0.164199829,-1.090286255
36:16.5,0.189331055,-0.171020508,-1.077880859
36:16.5,0.208770752,-0.18536377,-1.0652771
36:16.5,0.203948975,-0.190795898,-1.06010437
36:16.5,0.183197021,-0.191314697,-1.050079346
36:16.6,0.164825439,-0.19102478,-1.036437988
36:16.6,0.144622803,-0.191802979,-1.0206604
36:16.6,0.118179321,-0.176025391,-1.018493652
36:16.6,0.103225708,-0.148300171,-1.023406982
36:16.6,0.101577759,-0.13873291,-1.040740967
36:16.6,0.076309204,-0.139221191,-1.053726196
36:16.7,0.045394897,-0.131149292,-1.013671875
36:16.7,0.034591675,-0.135559082,-0.970840454
36:16.7,0.045196533,-0.124313354,-1.004074097
36:16.7,0.04914856,-0.13432312,-1.078125
36:16.7,-0.003250122,-0.115692139,-1.098464966
36:16.7,-0.037231445,-0.127807617,-1.028640747
36:16.8,-0.038238525,-0.138366699,-0.944564819
36:16.8,-0.003662109,-0.140792847,-0.905593872
36:16.8,0.010848999,-0.151351929,-0.934814453
36:16.8,0.032775879,-0.162155151,-0.988189697
36:16.8,0.035629272,-0.180206299,-0.998519897
36:16.8,0.019042969,-0.194091797,-0.988571167
36:16.9,-0.00402832,-0.202926636,-0.963867188
36:16.9,-0.001419067,-0.21194458,-0.937835693
36:16.9,0.020111084,-0.217941284,-0.914489746
36:16.9,0.04234314,-0.218948364,-0.892578125
36:16.9,0.055160522,-0.227996826,-0.888580322
36:16.9,0.040664673,-0.240463257,-0.917160034
36:17.0,0.016311646,-0.251724243,-0.955108643
36:17.0,-0.015335083,-0.291763306,-0.888473511
36:17.0,-0.015335083,-0.291763306,-0.888473511
36:17.0,-0.003341675,-0.305618286,-0.859008789
36:17.0,0.000228882,-0.298370361,-0.959655762
36:17.0,0.000228882,-0.298370361,-0.959655762
36:17.1,-0.006774902,-0.289901733,-1.052841187
36:17.1,0.014312744,-0.216461182,-1.291351318
36:17.1,0.014312744,-0.216461182,-1.291351318
36:17.1,-0.021255493,-0.18572998,-1.172821045
36:17.1,-0.052856445,-0.184432983,-1.138336182
36:17.1,-0.052856445,-0.184432983,-1.138336182
36:17.2,-0.092147827,-0.179580688,-1.216369629
36:17.2,-0.092147827,-0.179580688,-1.216369629
36:17.2,-0.087127686,-0.182769775,-1.221618652
36:17.2,-0.114608765,-0.159973145,-1.217437744
36:17.2,-0.140869141,-0.109130859,-1.25213623
36:17.2,-0.153289795,-0.034332275,-1.254089355
36:17.3,-0.137435913,0.015914917,-1.230178833
36:17.3,-0.105453491,0.048309326,-1.197006226
36:17.3,-0.067382813,0.075881958,-1.136428833
36:17.3,-0.041809082,0.070709229,-1.025939941
36:17.3,-0.036071777,0.034164429,-0.906555176
36:17.3,-0.0234375,-0.003982544,-0.836166382
36:17.4,0.00617981,-0.051101685,-0.817764282
36:17.4,0.012741089,-0.050094604,-0.825881958
36:17.4,0.006896973,-0.046157837,-0.851715088
36:17.4,-0.009963989,-0.045013428,-0.862304688
36:17.4,-0.005905151,-0.055297852,-0.859939575
36:17.4,0.003494263,-0.069213867,-0.8387146
36:17.5,-0.010467529,-0.095199585,-0.825302124
