Timestamp,GyroX,GyroY,GyroZ
36:12.8,0.187794136,0.037745781,0.117796142
36:12.8,0.173349416,-0.033596043,0.141270576
36:12.9,0.144012034,-0.120976223,0.154020193
36:12.9,0.13857812,-0.139285722,0.147573745
36:12.9,0.115969747,-0.080614685,0.135872082
36:12.9,0.031274033,-0.012630574,0.108133928
36:12.9,-0.08140591,-0.010244648,0.052479187
36:12.9,-0.121840153,-0.058353322,0.008524246
36:13.0,-0.112888735,-0.117867781,-0.006543387
36:13.0,-0.115191571,-0.140516635,-0.017279388
36:13.0,-0.116127672,-0.136044122,-0.051541222
36:13.0,-0.125194937,-0.100122606,-0.086833166
36:13.0,-0.159343586,-0.034859713,-0.096382197
36:13.0,-0.206054366,-0.064747838,-0.083557478
36:13.1,-0.205344634,-0.206514028,-0.066598735
36:13.1,-0.189795768,-0.342967478,-0.061416489
36:13.1,-0.15126755,-0.399478158,-0.087196155
36:13.1,-0.069050707,-0.310189557,-0.163136993
36:13.1,0.033127061,-0.114094615,-0.218604513
36:13.1,0.02163845,0.114282368,-0.230099515
36:13.2,-0.150832389,0.152871039,-0.269632277
36:13.2,-0.322245688,0.179761776,-0.36165195
36:13.2,-0.4119817,0.14001889,-0.485899334
36:13.2,-0.381341765,0.138775993,-0.519104958
36:13.2,-0.212458736,0.173634108,-0.445213156
36:13.2,0.03241067,0.222776887,-0.339196175
36:13.3,0.209353756,0.227122634,-0.227863791
36:13.3,0.278026561,0.15041667,-0.144447727
36:13.3,0.218287597,-0.144233609,-0.158718009
36:13.3,0.218287597,-0.144233609,-0.158718009
36:13.3,0.251713464,-0.182320807,-0.181261135
36:13.3,0.37513367,-0.061386396,-0.15544099
36:13.4,0.37513367,-0.061386396,-0.15544099
36:13.4,0.363450649,0.030816769,-0.193875464
36:13.4,0.276867553,0.106655873,-0.287996903
36:13.4,0.276867553,0.106655873,-0.287996903
36:13.4,0.300282598,0.017769143,-0.295608218
36:13.4,0.286270909,-0.009217999,-0.275291761
36:13.5,0.286270909,-0.009217999,-0.275291761
36:13.5,0.111616277,0.040950895,-0.230211634
36:13.5,0.015483885,0.031972048,-0.188435958
36:13.5,0.015483885,0.031972048,-0.188435958
36:13.5,-0.076884928,-0.036321523,-0.19920658
36:13.5,-0.146092229,0.0011646,-0.210923157
36:13.6,-0.264701967,0.059594088,-0.202255633
36:13.6,-0.366830466,0.082090875,-0.173290028
36:13.6,-0.355447583,0.073093119,-0.114406471
36:13.6,-0.241750046,0.075946963,-0.019123627
36:13.6,-0.129249067,0.067927652,0.09327988
36:13.6,-0.086790289,0.002362224,0.158511348
36:13.7,-0.089152513,-0.123266009,0.204404005
36:13.7,-0.071232102,-0.222065823,0.25460832
36:13.7,-0.038764707,-0.234459376,0.300632271
36:13.7,-0.010018546,-0.194904243,0.34779206
36:13.7,0.084201164,-0.034845865,0.397226456
36:13.7,0.22886514,0.226245388,0.485324357
36:13.8,0.265328076,0.305660319,0.553948692
36:13.8,0.18207846,0.197285376,0.536701262
36:13.8,0.044136835,-0.030207704,0.415446472
36:13.8,-0.103666209,-0.307171663,0.247015115
36:13.8,-0.08928647,-0.374962695,0.124849791
36:13.8,0.081004306,-0.208973457,0.131438718
36:13.9,0.248907025,0.067917532,0.269881016
36:13.9,0.298073506,0.284193643,0.433977812
36:13.9,0.273276547,0.351247246,0.495105615
36:13.9,0.187591469,0.196600677,0.424258606
36:13.9,0.082517247,-0.124187729,0.293243064
36:13.9,0.013828464,-0.389085971,0.163358568
36:14.0,-0.019408319,-0.467356009,0.07117591
36:14.0,-0.030623956,-0.326484908,0.032801356
36:14.0,-0.013356818,-0.061724884,0.050257578
36:14.0,-0.000809601,0.155408233,0.08800256
36:14.0,-0.017388311,0.195419831,0.129819516
36:14.0,-0.017596304,0.066663183,0.141440219
36:14.1,0.024085096,-0.100210491,0.117665381
36:14.1,-0.024337564,-0.199292334,0.127192574
36:14.1,-0.024337564,-0.199292334,0.127192574
36:14.1,-0.057522149,-0.139515286,0.134770332
36:14.1,-0.027175961,-0.074550135,0.044890776
